Species,Turbine density,WPD-NoTurbine density
Tomopeas ravus,3.0,1.22
Saccopteryx antioquensis,0.0,0.0
Lasiurus minor,11.0,1.2
Pteronotus paraguanensis,38.0,2.0
Rhogeessa genowaysi,0.0,0.0
Rhogeessa mira,0.0,0.0
Rhogeessa minutilla,1.3,1.39
Balantiopteryx io,52.8,1.0
Natalus primus,0.0,1.0
Lasiurus insularis,2.4,1.04
Lonchophylla dekeyseri,0.0,0.0
Lonchophylla bokermanni,0.0,0.0
Lonchorhina marinkellei,0.0,0.0
Lonchorhina fernandezi,0.0,0.0
Chilonatalus micropus,8.2,1.0
Choeroniscus periosus,0.0,0.0
Sturnira nana,0.0,0.0
Myotis atacamensis,10.9,1.31
Vampyressa melissa,0.0,0.0
Myotis findleyi,0.0,0.0
Myotis peninsularis,6.7,1.0
Myotis planiceps,17.6,0.0
Myotis vivesi,0.1,1.0
Amorphochilus schnablii,3.6,1.31
Mormopterus minutus,5.2,1.0
Mormopterus phrudus,0.0,0.0
Musonycteris harrisoni,0.0,0.0
Molossops aequatorianus,0.0,0.0
Perimyotis subflavus,12.8,1.01
Leptonycteris nivalis,20.8,1.11
Leptonycteris curasoae,1.1,1.55
Balantiopteryx infusca,0.0,0.0
Platyrrhinus chocoensis,0.0,1.0
Lonchorhina orinocensis,0.0,0.0
